"Sexo","Ano Base"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
