"Ano Base","Escolaridade","Idade","Sexo"
"1996","Ignorado","54","Masculino"
"1996","Ignorado","84","Feminino"
"1996","Nenhum","73","Feminino"
"1996","Ignorado","38","Masculino"
"1996","Ignorado","21","Masculino"
"1996","Ignorado","85","Masculino"
"1996","Ignorado","41","Masculino"
"1996","Ignorado","33","Masculino"
"1996","Ignorado","80","Feminino"
"1996","Ignorado","71","Feminino"
"1996","Nenhum","32","Feminino"
"1996","Nenhum","72","Masculino"
"1996","Ignorado","58","Feminino"
"1996","Ignorado","47","Masculino"
"1996","Ignorado","62","Feminino"
"1996","Ignorado","93","Feminino"
"1996","Ignorado","81","Masculino"
"1996","Ignorado","79","Masculino"
"1996","Ignorado","71","Feminino"
"1996","Ignorado","51","Feminino"
"1996","Ignorado","66","Masculino"
"1996","Nenhum","81","Masculino"
"1996","Ignorado","90","Feminino"
"1996","Ignorado","69","Masculino"
"1996","Ignorado","60","Feminino"
"1996","Nenhum","80","Masculino"
"1996","Ignorado","52","Masculino"
"1996","Ignorado","84","Feminino"
"1996","Ignorado","81","Feminino"
"1996","Ignorado","73","Masculino"
"1996","Nenhum","63","Masculino"
"1996","Ignorado","54","Feminino"
"1996","Ignorado","53","Masculino"
"1996","Nenhum","77","Masculino"
"1996","Ignorado","78","Feminino"
"1996","Nenhum","89","Masculino"
"1996","Ignorado","63","Feminino"
"1996","Ignorado","66","Feminino"
"1997","Nenhum","83","Feminino"
"1997","Ignorado","58","Masculino"
"1997","Ignorado","9","Masculino"
"1997","Ignorado","63","Masculino"
"1997","Nenhum","75","Feminino"
"1997","Nenhum","73","Masculino"
"1997","Ignorado","0","Feminino"
"1997","Ignorado","61","Masculino"
"1997","Nenhum","72","Feminino"
"1997","Ignorado","77","Masculino"
"1997","Nenhum","81","Masculino"
"1997","Nenhum","85","Masculino"
"1997","Ignorado","47","Masculino"
"1997","Ignorado","49","Masculino"
"1997","Nenhum","86","Feminino"
"1997","Nenhum","67","Feminino"
"1997","Ignorado","69","Masculino"
"1997","Ignorado","83","Feminino"
"1997","Ignorado","24","Masculino"
"1997","Ignorado","83","Masculino"
"1997","Nenhum","62","Masculino"
"1997","Ignorado","78","Masculino"
"1997","Nenhum","101","Masculino"
"1997","Nenhum","83","Feminino"
"1997","Ignorado","0.01","Feminino"
"1997","Nenhum","83","Masculino"
"1997","Ignorado","74","Masculino"
"1997","Ignorado","67","Masculino"
"1997","Ignorado","70","Masculino"
"1997","Nenhum","55","Masculino"
"1997","Ignorado","77","Feminino"
