"AnoBase","Escolaridade","Idade","Sexo"
"1996"," ","468","2"
"1996"," ","444","1"
"1996","1","462","1"
"1996"," ","473","2"
"1996"," ","457","2"
"1996"," ","460","1"
"1996"," ","304","1"
"1996"," ","488","2"
"1996"," ","465","1"
"1996"," ","415","1"
"1996"," ","468","1"
"1996"," ","449","2"
"1996"," ","451","1"
"1996"," ","464","2"
"1996"," ","486","1"
"1996","1","465","1"
"1996"," ","471","2"
"1996"," ","401","2"
"1996"," ","481","2"
"1996","1","459","2"
"1996"," ","491","1"
"1996","8","454","1"
"1996"," ","423","1"
"1996"," ","307","1"
"1996"," ","407","1"
"1996"," ","481","2"
"1996"," ","478","2"
"1996","1","486","1"
"1996"," ","458","2"
"1996"," ","201","2"
"1996"," ","470","1"
"1996","1","473","1"
"1996"," ","476","1"
"1996"," ","489","1"
"1996"," ","460","1"
"1996"," ","454","1"
"1996"," ","401","1"
"1996"," ","460","1"
"1996","1","470","1"
"1996"," ","484","2"
"1996"," ","461","2"
"1996"," ","203","1"
"1996"," ","474","1"
"1996","1","483","1"
"1996"," ","476","1"
"1996"," ","476","2"
"1996"," ","438","2"
"1996"," ","489","2"
"1996"," ","462","2"
"1997"," ","465","1"
"1997","1","436","1"
"1997"," ","470","2"
"1997"," ","458","1"
"1997","1","472","2"
"1997"," ","479","1"
"1997","1","491","1"
"1997","1","204","2"
"1997"," ","483","2"
"1997"," ","460","1"
"1997"," ","470","1"
"1997"," ","478","1"
"1997","9","445","2"
"1997"," ","474","1"
"1997","1","474","1"
"1997"," ","466","1"
"1997","1","473","2"
"1997"," ","486","1"
"1997"," ","430","2"
"1997","1","487","1"
"1997"," ","467","1"
"1997"," ","460","2"
"1997"," ","462","1"
"1997","1","464","1"
"1997","1","488","2"
"1997","1","310","1"
"1997"," ","460","1"
"1997"," ","202","2"
"1997"," ","402","2"
"1997","1","484","1"
"1997","9","471","2"
"1997"," ","435","1"
"1997"," ","463","1"
"1997"," ","428","2"
"1997","1","468","1"
"1997","1","480","2"
"1997"," ","413","2"
"1997"," ","473","2"
"1997"," ","451","1"
"1997"," ","413","2"
"1997"," ","448","1"
"1997","9","428","1"
"1997"," ","481","2"
"1997","1","488","2"
"1997","1","465","2"
"1997"," ","472","1"
"1997"," ","437","1"
"1997","1","463","1"
"1997"," ","469","2"
"1997"," ","457","1"
"1997"," ","427","1"
"1997","8","432","1"
"1998","1","465","2"
"1998"," ","467","1"
"1998","1","488","1"
"1998"," ","479","2"
"1998"," ","421","2"
"1998"," ","459","1"
"1998","1","489","1"
"1998","5","471","2"
"1998"," ","427","2"
"1998","9","476","1"
"1998"," ","455","2"
"1998"," ","441","1"
"1998","9","443","1"
"1998","1","431","1"
"1998"," ","463","1"
"1998"," ","487","1"
"1998"," ","464","1"
"1998"," ","456","1"
"1998"," ","482","1"
"1998"," ","474","1"
"1998","1","204","2"
"1998"," ","472","1"
"1998"," ","473","2"
"1998"," ","201","2"
"1998"," ","468","1"
"1998","1","301","2"
"1998","1","304","2"
"1998","1","477","2"
"1998","1","484","2"
"1998","1","478","1"
"1998"," ","484","1"
"1998","1","473","2"
"1998"," ","471","1"
"1998","1","476","1"
"1998","1","486","1"
"1998","1","310","2"
"1998","1","469","2"
"1998"," ","475","1"
"1998","1","429","2"
"1998"," ","485","2"
"1998","1","483","1"
"1998"," ","489","1"
"1998","1","487","2"
"1998"," ","457","1"
"1998"," ","489","2"
"1998","1","472","1"
"1998","1","474","1"
"1998"," ","482","1"
"1998"," ","302","1"
"1998","1","447","2"
"1998","1","492","2"
"1998"," ","468","2"
"1998"," ","490","1"
"1998","1","458","2"
"1998"," ","470","1"
"1998"," ","482","1"
"1998"," ","101","1"
"1998"," ","464","1"
"1998"," ","478","1"
"1998","1","479","1"
"1998"," ","466","2"
"1998","1","466","1"
"1998"," ","437","2"
"1998"," ","458","1"
"1999","3","476","2"
"1999","3","455","2"
"1999","1","447","1"
"1999","1","485","2"
"1999","1","493","2"
"1999","3","465","1"
"1999"," ","472","1"
"1999","2","478","1"
"1999","1","482","1"
"1999","9","474","2"
"1999","1","401","2"
"1999","9","482","2"
"1999","2","478","1"
"1999","3","454","2"
"1999","3","480","1"
"1999","1","468","1"
"1999","2","479","1"
"1999","2","479","1"
"1999","1","468","1"
"1999","4","482","1"
"1999","1","463","1"
"1999","9","470","1"
"1999"," ","479","1"
"1999","2","466","1"
"1999","9","491","2"
"1999","A","476","1"
"1999","A","464","1"
"1999","A","443","1"
"1999","9","473","1"
"1999","A","436","2"
"1999","A","455","2"
"1999","1","491","1"
"1999","A","492","2"
"1999","A","465","2"
"1999","1","476","1"
"1999","A","486","2"
"1999","A","466","1"
"1999","A","472","2"
"1999","A","460","2"
"1999","A","483","1"
"1999","A","481","1"
"1999","A","477","2"
"1999","A","481","2"
"1999"," ","464","1"
"1999","1","479","2"
"1999","1","456","1"
"1999","A","479","2"
"1999","1","439","2"
"1999","1","471","2"
"1999","A","470","1"
"2000","3","488","1"
"2000","1","471","2"
"2000","1","487","2"
"2000","2","457","1"
"2000","1","475","1"
"2000","2","463","1"
"2000","2","461","1"
"2000","1","470","1"
"2000","2","467","1"
"2000","3","479","1"
"2000","1","460","2"
"2000","2","493","2"
"2000","1","479","2"
"2000","2","482","1"
"2000"," ","475","1"
"2000","1","419","1"
"2000","3","451","1"
"2000","2","464","2"
"2000","3","428","1"
"2000","3","423","2"
"2000","1","468","2"
"2000","2","491","1"
"2000"," ","401","1"
"2000","1","487","2"
"2000","1","481","2"
"2000"," ","464","2"
"2000","3","454","1"
"2000","1","487","1"
"2000","9","456","1"
"2000"," ","302","1"
"2000","2","484","1"
"2000","2","470","1"
"2000","1","474","2"
"2000","2","471","1"
"2000","4","422","1"
"2000","2","485","1"
"2000","2","473","2"
"2000","2","464","2"
"2000","2","487","1"
"2000","1","469","2"
"2000","2","470","1"
"2000","1","487","1"
"2000","3","491","2"
"2000","2","444","1"
"2000","1","463","2"
"2000","2","486","2"
"2000","2","496","2"
"2000"," ","206","1"
"2000","2","452","1"
"2000","9","461","1"
"2000","1","464","2"
"2000","2","468","1"
"2000","3","425","1"
"2000","1","445","2"
"2000"," ","119","1"
"2000"," ","301","1"
"2001"," ","473","1"
"2001","1","478","2"
